event_id,user_id,event_name,event_time,channel,region
73,45,signup_completed,2026-07-10T06:13:00,paid,na
74,35,session_start,2026-07-29T10:10:00,paid,apac
75,12,signup_completed,2026-07-10T11:16:00,social,emea
76,7,login,2026-07-13T07:41:00,organic,emea
77,27,login,2026-07-02T04:28:00,social,emea
78,19,page_view,2026-07-16T12:00:00,referral,na
79,7,signup_completed,2026-07-13T03:35:00,referral,apac
80,19,signup_completed,2026-07-12T21:38:00,email,emea
81,26,session_start,2026-07-07T02:44:00,social,emea
82,28,login,2026-07-26T19:27:00,social,apac
83,41,session_start,2026-07-01T02:12:00,referral,emea
84,49,signup_completed,2026-07-24T00:37:00,social,emea
85,44,signup_completed,2026-07-13T14:20:00,social,apac
86,37,page_view,2026-07-03T18:19:00,organic,emea
87,47,signup_completed,2026-07-17T13:14:00,organic,na
88,3,page_view,2026-07-23T10:11:00,paid,emea
89,12,page_view,2026-07-28T20:07:00,paid,emea
90,8,login,2026-07-28T17:27:00,referral,na
91,41,page_view,2026-07-27T21:16:00,organic,na
92,20,signup_completed,2026-07-28T15:28:00,social,emea
93,35,signup_completed,2026-07-06T17:50:00,social,apac
94,25,login,2026-07-10T23:29:00,paid,apac
95,45,signup_completed,2026-07-23T23:32:00,organic,emea
96,32,session_start,2026-07-17T10:20:00,paid,apac
97,25,login,2026-07-27T16:12:00,organic,emea
98,41,session_start,2026-07-01T20:47:00,referral,na
99,5,session_start,2026-07-05T05:02:00,social,apac
100,37,signup_completed,2026-07-05T09:09:00,email,na
101,21,login,2026-07-09T13:00:00,email,na
102,13,page_view,2026-07-30T00:48:00,paid,apac
103,8,session_start,2026-07-26T01:53:00,email,apac
104,50,page_view,2026-07-01T21:43:00,social,emea
105,30,session_start,2026-07-25T16:47:00,social,na
106,14,login,2026-07-11T18:38:00,referral,emea
107,38,login,2026-07-02T17:29:00,email,apac
108,34,page_view,2026-07-25T05:32:00,referral,emea
109,42,session_start,2026-07-17T04:28:00,referral,emea
110,17,login,2026-07-17T19:23:00,social,emea
111,6,signup_completed,2026-07-02T12:42:00,email,apac
112,47,signup_completed,2026-07-23T22:15:00,email,emea
113,16,page_view,2026-07-04T07:03:00,organic,apac
114,32,session_start,2026-07-27T17:57:00,email,apac
115,21,signup_completed,2026-07-18T09:21:00,social,emea
116,1,signup_completed,2026-07-09T11:25:00,paid,na
117,14,login,2026-07-13T08:25:00,organic,apac
118,22,session_start,2026-07-24T10:47:00,social,na
119,26,page_view,2026-07-01T07:48:00,email,na
120,15,session_start,2026-07-24T21:13:00,paid,apac
121,14,page_view,2026-07-02T12:25:00,email,apac
122,7,session_start,2026-07-15T22:45:00,email,apac
123,45,login,2026-07-26T05:34:00,email,apac
124,25,session_start,2026-07-05T09:38:00,organic,na
125,39,login,2026-07-26T11:24:00,organic,na
126,20,signup_completed,2026-07-04T09:02:00,organic,na
127,18,session_start,2026-07-04T14:21:00,paid,apac
128,8,page_view,2026-07-17T11:18:00,paid,na
129,37,login,2026-07-20T01:58:00,email,na
130,6,signup_completed,2026-07-25T00:52:00,social,emea
131,6,session_start,2026-07-16T03:29:00,email,emea
132,30,session_start,2026-07-24T22:08:00,email,apac
133,31,page_view,2026-07-05T03:23:00,paid,apac
134,4,session_start,2026-07-06T21:48:00,email,emea
135,2,session_start,2026-07-11T07:25:00,email,na
136,44,signup_completed,2026-07-06T21:03:00,email,na
137,20,signup_completed,2026-07-12T14:00:00,paid,emea
138,38,signup_completed,2026-07-30T10:35:00,social,apac
139,3,signup_completed,2026-07-06T17:55:00,paid,na
140,23,login,2026-07-12T01:12:00,paid,na
141,37,signup_completed,2026-07-17T08:10:00,email,emea
142,31,signup_completed,2026-07-05T11:49:00,social,apac
143,9,login,2026-07-12T02:34:00,organic,emea
144,29,page_view,2026-07-11T08:36:00,referral,emea
145,35,signup_completed,2026-07-05T04:18:00,email,emea
146,26,login,2026-07-04T12:41:00,organic,emea
147,40,page_view,2026-07-07T07:13:00,email,na
148,38,signup_completed,2026-07-23T14:32:00,organic,na
149,33,session_start,2026-07-23T01:13:00,social,apac
150,39,session_start,2026-07-06T05:02:00,email,emea
151,15,session_start,2026-07-29T00:51:00,email,na
152,38,signup_completed,2026-07-01T04:26:00,organic,emea
153,4,login,2026-07-02T09:04:00,email,emea
154,33,login,2026-07-06T12:30:00,referral,na
155,24,page_view,2026-07-24T14:28:00,social,na
156,47,page_view,2026-07-12T12:01:00,email,apac
157,36,page_view,2026-07-26T10:26:00,social,apac
158,10,page_view,2026-07-06T05:07:00,paid,emea
159,43,page_view,2026-07-26T12:39:00,paid,na
160,33,session_start,2026-07-08T10:11:00,referral,na
161,37,page_view,2026-07-10T16:27:00,paid,na
162,29,login,2026-07-08T08:21:00,email,apac
163,1,login,2026-07-05T20:25:00,referral,emea
164,23,signup_completed,2026-07-01T21:54:00,email,apac
165,21,session_start,2026-07-09T20:08:00,paid,na
166,26,signup_completed,2026-07-03T19:24:00,paid,apac
167,38,login,2026-07-07T17:26:00,paid,apac
168,17,page_view,2026-07-11T11:58:00,email,emea
169,24,signup_completed,2026-07-07T19:05:00,social,na
170,49,signup_completed,2026-07-11T21:25:00,referral,emea
171,21,signup_completed,2026-07-07T16:19:00,organic,na
172,20,login,2026-07-22T07:48:00,organic,na
173,30,session_start,2026-07-19T23:18:00,social,na
174,45,signup_completed,2026-07-30T15:39:00,email,emea
175,1,login,2026-07-19T14:49:00,paid,emea
176,28,signup_completed,2026-07-18T05:50:00,referral,na
177,8,signup_completed,2026-07-23T06:02:00,paid,emea
178,19,login,2026-07-02T00:22:00,referral,emea
179,7,signup_completed,2026-07-08T00:56:00,email,apac
180,8,login,2026-07-25T14:36:00,email,apac
181,33,page_view,2026-07-15T07:33:00,email,emea
182,32,page_view,2026-07-14T10:15:00,referral,na
183,21,login,2026-07-23T15:17:00,paid,apac
184,33,session_start,2026-07-21T18:47:00,social,apac
185,36,signup_completed,2026-07-28T17:01:00,organic,apac
186,5,page_view,2026-07-11T09:01:00,email,apac
187,12,page_view,2026-07-05T04:37:00,organic,emea
188,44,session_start,2026-07-20T21:43:00,organic,emea
189,30,page_view,2026-07-27T13:22:00,organic,emea
190,17,login,2026-07-09T07:01:00,social,na
191,39,signup_completed,2026-07-22T21:42:00,referral,emea
192,29,signup_completed,2026-07-02T22:36:00,email,emea
193,18,page_view,2026-07-21T09:35:00,organic,emea
194,34,signup_completed,2026-07-05T05:57:00,referral,apac
195,42,login,2026-07-21T05:26:00,paid,na
196,7,login,2026-07-13T16:25:00,social,emea
197,46,page_view,2026-07-02T21:42:00,organic,apac
198,36,session_start,2026-07-26T20:10:00,email,na
199,39,page_view,2026-07-03T21:33:00,social,na
200,36,session_start,2026-07-20T18:34:00,referral,apac
